test_name,metric_name,projection,mean,std,cv,n_observations,non_discriminant
SYM-001,asymmetry_norm_normalized,value_mean,0.6903996140155055,0.7150985800014563,1.0357748838274932,2400,False
TOP-001,connected_components,value_mean,117.59068400582902,85.61345956421637,0.7280632839925693,2400,False
TOP-001,euler_characteristic,value_mean,-3.8518250227668607,36.75810393262068,9.543035759764711,2400,False
TOP-001,holes_count,value_mean,24.806150187951257,20.71416901277639,0.8350416673215819,2400,False
UNIV-001,frobenius_norm,value_mean,1.0194747762018658e+144,4.855238809712375e+145,47.62490375486241,2400,False
UNIV-002,trace_absolute,value_mean,2.935526768390155e+292,inf,inf,2400,False
UNIV-002,trace_normalized,value_mean,5.871053536768567e+290,inf,inf,2400,False
GRA-001,clustering_local,slope,0.006029933207295232,0.029166661836993034,4.836979255708197,2400,False
GRA-001,degree_variance,slope,0.001956733100280394,0.016212899967448766,8.285698220736139,2400,False
GRA-001,density,slope,0.006472821989022384,0.030791780310065214,4.757087459269959,2400,False
PAT-001,concentration_top10,slope,-0.00107246101989574,0.03658600061898353,34.11406096842593,2400,False
PAT-001,diversity_simpson,slope,-0.0006104244360195212,0.006515273527885047,10.673349793088379,2400,False
PAT-001,uniformity,slope,-0.0006104244360195215,0.006515273527885045,10.67334979308837,2400,False
SPA-001,gradient_magnitude,slope,644118.350364776,1458716.5933398094,2.2646716904024107,2400,False
SPA-001,laplacian_energy,slope,-0.019624642421403868,0.3185053771263252,16.229869074146453,2400,False
SPA-001,smoothness,slope,-0.015993439492961434,0.06859498245334382,4.2889450067030195,2400,False
SPE-001,eigenvalue_max,slope,2.079430469032652e+292,inf,inf,2400,False
SPE-001,spectral_gap,slope,0.010717900986163056,0.04732195730562105,4.41522620583212,2400,False
SPE-001,spectral_radius,slope,2.079430469032652e+292,inf,inf,2400,False
SYM-001,asymmetry_norm,slope,3.2994089816800675e+143,1.5726900384308973e+145,47.66581066982728,2400,False
SYM-001,asymmetry_norm_normalized,slope,0.00028527555880756406,0.01378175463266144,48.31032385062501,2400,False
TOP-001,connected_components,slope,1.409743871325358,7.295337618061933,5.174938346214115,2400,False
TOP-001,euler_characteristic,slope,0.32945829335798815,5.64303346625965,17.128217986997072,2400,False
TOP-001,holes_count,slope,0.6809655995153383,3.2157635693436126,4.72235832710545,2400,False
UNIV-001,frobenius_norm,slope,1.2176502441899636e+144,5.825557374192294e+145,47.842616564066965,2400,False
UNIV-002,trace_absolute,slope,2.079430469032652e+292,inf,inf,2400,False
UNIV-002,trace_normalized,slope,4.158860938056985e+290,inf,inf,2400,False
GRA-001,clustering_local,volatility,1.8830873647887223,3.7837993177885183,2.0093594107956063,2400,False
