factor_varying,factor_context,context_value,test_name,metric_name,projection,vr_conditional,vr_marginal,interaction_strength,p_value,n_groups
d_encoding_id,gamma_id,GAM-007,GRA-001,density,value_mean,0.999904540105727,0.07212386562531366,13.863712537265693,4.186906700822567e-37,10
d_encoding_id,gamma_id,GAM-008,GRA-001,density,value_mean,0.4221749708138597,0.07212386562531366,5.8534712075344855,1.4184755630544255e-36,10
d_encoding_id,gamma_id,GAM-009,GRA-001,density,value_mean,0.9926880961301784,0.07212386562531366,13.763656281087767,9.106384002443519e-37,10
d_encoding_id,gamma_id,GAM-010,GRA-001,density,value_mean,0.9887940059439809,0.07212386562531366,13.70966458011007,2.1247223252734403e-36,10
d_encoding_id,gamma_id,GAM-012,GRA-001,density,value_mean,0.41346450950988045,0.07212386562531366,5.732700347175579,2.9685512742670254e-28,10
d_encoding_id,gamma_id,GAM-013,GRA-001,density,value_mean,0.8716693026143478,0.07212386562531366,12.085726341162916,2.340591975284873e-35,10
d_encoding_id,gamma_id,GAM-002,GRA-001,density,relative_change,0.8274557183203958,0.12699273090926524,6.515772299688576,8.552598588745816e-37,10
d_encoding_id,gamma_id,GAM-004,GRA-001,density,relative_change,0.7297297307749127,0.12699273090926524,5.746232288651983,2.4609572125441284e-37,10
d_encoding_id,gamma_id,GAM-005,GRA-001,density,relative_change,0.7297297307749127,0.12699273090926524,5.746232288651983,2.4609572125441284e-37,10
d_encoding_id,gamma_id,GAM-006,GRA-001,density,relative_change,0.7297297307749127,0.12699273090926524,5.746232288651983,2.4609572125441284e-37,10
d_encoding_id,gamma_id,GAM-007,GRA-001,density,relative_change,0.8416318419732179,0.12699273090926524,6.6274017099022275,8.552598588745816e-37,10
d_encoding_id,gamma_id,GAM-009,GRA-001,density,relative_change,0.7297297306186353,0.12699273090926524,5.746232287421383,2.46095721254388e-37,10
d_encoding_id,gamma_id,GAM-001,PAT-001,concentration_top10,value_final,0.4381384776918479,0.05643413540392945,7.763713833052553,1.5747807294827818e-12,10
d_encoding_id,gamma_id,GAM-002,PAT-001,concentration_top10,value_final,0.7972524096214471,0.05643413540392945,14.127130750122827,5.856222299820521e-34,10
d_encoding_id,gamma_id,GAM-003,PAT-001,concentration_top10,value_final,0.9930199361645038,0.05643413540392945,17.596086642542254,4.722874817160289e-37,10
d_encoding_id,gamma_id,GAM-006,PAT-001,concentration_top10,value_final,0.48708425412824624,0.05643413540392945,8.631021821135779,4.0294440650802744e-36,10
d_encoding_id,gamma_id,GAM-007,PAT-001,concentration_top10,value_final,0.7485081811947534,0.05643413540392945,13.263394146774427,8.144616191659443e-31,10
d_encoding_id,gamma_id,GAM-008,PAT-001,concentration_top10,value_final,0.4381384776918479,0.05643413540392945,7.763713833052553,1.5747807294827818e-12,10
d_encoding_id,gamma_id,GAM-010,PAT-001,concentration_top10,value_final,0.6489264600206678,0.05643413540392945,11.498828774038127,3.526392610395868e-35,10
d_encoding_id,gamma_id,GAM-012,PAT-001,concentration_top10,value_final,0.45382499809595356,0.05643413540392945,8.041675394646946,3.412820848500914e-16,10
d_encoding_id,gamma_id,GAM-013,PAT-001,concentration_top10,value_final,0.8713484228610066,0.05643413540392945,15.440095194589187,3.207706574940254e-26,10
d_encoding_id,gamma_id,GAM-001,PAT-001,concentration_top10,value_mean,0.44091443097526767,0.1092985849064222,4.034036043126852,1.952027859472212e-32,10
d_encoding_id,gamma_id,GAM-002,PAT-001,concentration_top10,value_mean,0.654620584930743,0.1092985849064222,5.98928691978224,1.7352925262161426e-25,10
d_encoding_id,gamma_id,GAM-003,PAT-001,concentration_top10,value_mean,0.9930199361645036,0.1092985849064222,9.085386942700987,4.722874817160289e-37,10
d_encoding_id,gamma_id,GAM-004,PAT-001,concentration_top10,value_mean,0.9929586341431873,0.1092985849064222,9.084826075226182,5.4167845076631954e-37,10
d_encoding_id,gamma_id,GAM-005,PAT-001,concentration_top10,value_mean,0.9931562462744348,0.1092985849064222,9.086634077877056,8.988670769231862e-37,10
d_encoding_id,gamma_id,GAM-006,PAT-001,concentration_top10,value_mean,0.5351284173388747,0.1092985849064222,4.896023290667796,4.6308038935291466e-36,10
d_encoding_id,gamma_id,GAM-007,PAT-001,concentration_top10,value_mean,0.6041057131277962,0.1092985849064222,5.527113764967875,3.3846379880795616e-22,10
d_encoding_id,gamma_id,GAM-008,PAT-001,concentration_top10,value_mean,0.4409146682848448,0.1092985849064222,4.034038214331331,2.0152174151708856e-32,10
d_encoding_id,gamma_id,GAM-009,PAT-001,concentration_top10,value_mean,0.9781179765217757,0.1092985849064222,8.949045199068292,4.276993354377335e-37,10
d_encoding_id,gamma_id,GAM-010,PAT-001,concentration_top10,value_mean,0.6867298506435688,0.1092985849064222,6.283062596204004,4.176137848346788e-36,10
d_encoding_id,gamma_id,GAM-012,PAT-001,concentration_top10,value_mean,0.45651753347274854,0.1092985849064222,4.17679271752332,2.0196566315318176e-35,10
d_encoding_id,gamma_id,GAM-013,PAT-001,concentration_top10,value_mean,0.8877186201517384,0.1092985849064222,8.121958952275305,4.653391755599316e-32,10
d_encoding_id,gamma_id,GAM-001,PAT-001,concentration_top10,slope,0.5433439008682672,0.08238210472082617,6.5954117427508505,2.0778198172464794e-20,10
d_encoding_id,gamma_id,GAM-002,PAT-001,concentration_top10,slope,0.8854524380545049,0.08238210472082617,10.748116245088635,6.894229060124954e-33,10
d_encoding_id,gamma_id,GAM-004,PAT-001,concentration_top10,slope,0.9929805740976116,0.08238210472082617,12.053352818097963,4.396737763869788e-37,10
d_encoding_id,gamma_id,GAM-005,PAT-001,concentration_top10,slope,0.9931563028247791,0.08238210472082617,12.055485911538133,9.077073291964246e-37,10
d_encoding_id,gamma_id,GAM-006,PAT-001,concentration_top10,slope,0.6044361359139411,0.08238210472082617,7.336983413597344,2.4488703202203565e-26,10
d_encoding_id,gamma_id,GAM-007,PAT-001,concentration_top10,slope,0.8954615693907947,0.08238210472082617,10.869612671651277,3.538428037990507e-33,10
d_encoding_id,gamma_id,GAM-008,PAT-001,concentration_top10,slope,0.5433129362890318,0.08238210472082617,6.595035877393436,2.0790816924566698e-20,10
d_encoding_id,gamma_id,GAM-009,PAT-001,concentration_top10,slope,0.9779966790934179,0.08238210472082617,11.871469931578243,4.17899843617366e-37,10
d_encoding_id,gamma_id,GAM-010,PAT-001,concentration_top10,slope,0.7203598872021182,0.08238210472082617,8.744130653656526,2.5991200675350012e-36,10
d_encoding_id,gamma_id,GAM-012,PAT-001,concentration_top10,slope,0.5085551373789107,0.08238210472082617,6.173126300939821,2.5665998683220224e-20,10
d_encoding_id,gamma_id,GAM-013,PAT-001,concentration_top10,slope,0.971204170517357,0.08238210472082617,11.789018668660415,3.5123743703957305e-34,10
d_encoding_id,gamma_id,GAM-001,PAT-001,diversity_simpson,value_final,0.721748341857612,0.1060085717547609,6.80839605619154,3.192778230030056e-24,10
d_encoding_id,gamma_id,GAM-002,PAT-001,diversity_simpson,value_final,0.41786847601625554,0.1060085717547609,3.9418366750846148,1.9096680834523676e-08,10
d_encoding_id,gamma_id,GAM-003,PAT-001,diversity_simpson,value_final,0.5399420256648655,0.1060085717547609,5.093380815600097,1.4259221921288148e-35,10
d_encoding_id,gamma_id,GAM-004,PAT-001,diversity_simpson,value_final,0.5399420256648655,0.1060085717547609,5.093380815600097,1.4259221921288148e-35,10
d_encoding_id,gamma_id,GAM-005,PAT-001,diversity_simpson,value_final,0.5399420256648655,0.1060085717547609,5.093380815600097,1.4259221921288148e-35,10
d_encoding_id,gamma_id,GAM-007,PAT-001,diversity_simpson,value_final,0.41044554758394797,0.1060085717547609,3.8718147107336596,3.42171361111004e-05,10
d_encoding_id,gamma_id,GAM-008,PAT-001,diversity_simpson,value_final,0.721748341857612,0.1060085717547609,6.80839605619154,3.192778230030056e-24,10
d_encoding_id,gamma_id,GAM-010,PAT-001,diversity_simpson,value_final,0.5175106345145482,0.1060085717547609,4.881781029101607,4.0763057409428843e-26,10
d_encoding_id,gamma_id,GAM-012,PAT-001,diversity_simpson,value_final,0.6264760830512697,0.1060085717547609,5.909673837513373,3.2068327300340835e-16,10
d_encoding_id,gamma_id,GAM-013,PAT-001,diversity_simpson,value_final,0.5092292970253274,0.1060085717547609,4.803661520913356,2.5527176021144167e-26,10
d_encoding_id,gamma_id,GAM-001,PAT-001,diversity_simpson,value_mean,0.7193441464142075,0.11841543110600823,6.074750053227725,1.6351682822904733e-27,10
d_encoding_id,gamma_id,GAM-002,PAT-001,diversity_simpson,value_mean,0.48898168109167145,0.11841543110600823,4.129374664471928,1.7595579792834742e-26,10
d_encoding_id,gamma_id,GAM-003,PAT-001,diversity_simpson,value_mean,0.5399420256648657,0.11841543110600823,4.5597268921944565,1.4259221921288148e-35,10
d_encoding_id,gamma_id,GAM-004,PAT-001,diversity_simpson,value_mean,0.5399420256648657,0.11841543110600823,4.5597268921944565,1.4259221921288148e-35,10
d_encoding_id,gamma_id,GAM-005,PAT-001,diversity_simpson,value_mean,0.5399420256648657,0.11841543110600823,4.5597268921944565,1.4259221921288148e-35,10
d_encoding_id,gamma_id,GAM-007,PAT-001,diversity_simpson,value_mean,0.5038018280817275,0.11841543110600823,4.2545285135238196,1.271817959188875e-27,10
d_encoding_id,gamma_id,GAM-008,PAT-001,diversity_simpson,value_mean,0.719270246593725,0.11841543110600823,6.0741259806740695,1.6351682822904733e-27,10
d_encoding_id,gamma_id,GAM-009,PAT-001,diversity_simpson,value_mean,0.5799773333189636,0.11841543110600823,4.897818872945321,1.1387441404342007e-32,10
d_encoding_id,gamma_id,GAM-010,PAT-001,diversity_simpson,value_mean,0.48451309236604984,0.11841543110600823,4.0916381238548425,6.315934593527828e-35,10
d_encoding_id,gamma_id,GAM-012,PAT-001,diversity_simpson,value_mean,0.6248814816728739,0.11841543110600823,5.277027460327072,3.460326836033229e-21,10
d_encoding_id,gamma_id,GAM-013,PAT-001,diversity_simpson,value_mean,0.4826385915852107,0.11841543110600823,4.075808254695636,2.2388700390443996e-27,10
d_encoding_id,gamma_id,GAM-001,PAT-001,diversity_simpson,slope,0.7353157246303353,0.05077814770164985,14.480948162007175,5.621641547343974e-34,10
d_encoding_id,gamma_id,GAM-002,PAT-001,diversity_simpson,slope,0.5562169962577108,0.05077814770164985,10.953865421121664,1.5070488155675567e-31,10
d_encoding_id,gamma_id,GAM-006,PAT-001,diversity_simpson,slope,0.9299584244808184,0.05077814770164985,18.31414627301584,2.4510566413762224e-36,10
d_encoding_id,gamma_id,GAM-007,PAT-001,diversity_simpson,slope,0.5717131361520155,0.05077814770164985,11.259038819437672,1.0778823612569076e-32,10
d_encoding_id,gamma_id,GAM-008,PAT-001,diversity_simpson,slope,0.7143169781561693,0.05077814770164985,14.067409121600555,5.621641547343974e-34,10
d_encoding_id,gamma_id,GAM-009,PAT-001,diversity_simpson,slope,0.5763011273615571,0.05077814770164985,11.349392473858048,1.610825449229989e-32,10
d_encoding_id,gamma_id,GAM-012,PAT-001,diversity_simpson,slope,0.8437489492296482,0.05077814770164985,16.616379041377154,2.2735803246765155e-36,10
d_encoding_id,gamma_id,GAM-013,PAT-001,diversity_simpson,slope,0.6376396606310626,0.05077814770164985,12.557363541056162,6.899833550607803e-27,10
d_encoding_id,gamma_id,GAM-001,PAT-001,diversity_simpson,volatility,0.4775276130486335,0.07455034223600353,6.405438241140832,6.000668868810478e-35,10
d_encoding_id,gamma_id,GAM-002,PAT-001,diversity_simpson,volatility,0.5050281216044121,0.07455034223600353,6.774323315721984,8.831305800300204e-34,10
d_encoding_id,gamma_id,GAM-006,PAT-001,diversity_simpson,volatility,0.8038189520009962,0.07455034223600353,10.782230207023757,2.651943744244161e-28,10
d_encoding_id,gamma_id,GAM-007,PAT-001,diversity_simpson,volatility,0.502079352521849,0.07455034223600353,6.734769250722145,5.906890698314618e-33,10
d_encoding_id,gamma_id,GAM-008,PAT-001,diversity_simpson,volatility,0.4801077612003449,0.07455034223600353,6.440047715414517,6.000668868810478e-35,10
d_encoding_id,gamma_id,GAM-009,PAT-001,diversity_simpson,volatility,0.4926207747049177,0.07455034223600353,6.607894208525983,7.1533564562898055e-34,10
d_encoding_id,gamma_id,GAM-010,PAT-001,diversity_simpson,volatility,0.7516225340067019,0.07455034223600353,10.08208026231852,9.92920492383965e-32,10
d_encoding_id,gamma_id,GAM-012,PAT-001,diversity_simpson,volatility,0.4590846809300154,0.07455034223600353,6.158049274632356,3.132415425248079e-30,10
d_encoding_id,gamma_id,GAM-013,PAT-001,diversity_simpson,volatility,0.4590962307656285,0.07455034223600353,6.158204201293544,1.0182557644960521e-22,10
d_encoding_id,gamma_id,GAM-001,PAT-001,diversity_simpson,relative_change,0.7517794577524349,0.10417135565730937,7.216757937043176,5.868608590206936e-34,10
d_encoding_id,gamma_id,GAM-002,PAT-001,diversity_simpson,relative_change,0.4701526816090441,0.10417135565730937,4.513262582045077,2.6522965385724056e-35,10
d_encoding_id,gamma_id,GAM-006,PAT-001,diversity_simpson,relative_change,0.9370389150528754,0.10417135565730937,8.995168673194918,7.948844233824682e-35,10
d_encoding_id,gamma_id,GAM-007,PAT-001,diversity_simpson,relative_change,0.4701446097811866,0.10417135565730937,4.513185095985627,1.2145550486802157e-34,10
d_encoding_id,gamma_id,GAM-008,PAT-001,diversity_simpson,relative_change,0.7517794577524349,0.10417135565730937,7.216757937043176,5.868608590206936e-34,10
d_encoding_id,gamma_id,GAM-009,PAT-001,diversity_simpson,relative_change,0.47007298139480985,0.10417135565730937,4.512497494428319,1.1080908712332987e-35,10
d_encoding_id,gamma_id,GAM-010,PAT-001,diversity_simpson,relative_change,0.33938486212185554,0.10417135565730937,3.2579480220870294,2.830935037661699e-07,10
d_encoding_id,gamma_id,GAM-012,PAT-001,diversity_simpson,relative_change,0.7286779302855343,0.10417135565730937,6.99499325594507,7.249682062720314e-36,10
d_encoding_id,gamma_id,GAM-013,PAT-001,diversity_simpson,relative_change,0.4928023317649463,0.10417135565730937,4.730689436221885,6.5497344437044076e-24,10
d_encoding_id,gamma_id,GAM-001,PAT-001,uniformity,value_final,0.7217483418576119,0.10600857175476039,6.808396056191572,3.192778230030056e-24,10
d_encoding_id,gamma_id,GAM-002,PAT-001,uniformity,value_final,0.417868476016255,0.10600857175476039,3.941836675084629,1.9096680834523676e-08,10
d_encoding_id,gamma_id,GAM-003,PAT-001,uniformity,value_final,0.539942025664865,0.10600857175476039,5.093380815600117,1.4259221921288148e-35,10
d_encoding_id,gamma_id,GAM-004,PAT-001,uniformity,value_final,0.539942025664865,0.10600857175476039,5.093380815600117,1.4259221921288148e-35,10
d_encoding_id,gamma_id,GAM-005,PAT-001,uniformity,value_final,0.539942025664865,0.10600857175476039,5.093380815600117,1.4259221921288148e-35,10
d_encoding_id,gamma_id,GAM-007,PAT-001,uniformity,value_final,0.41044554758393453,0.10600857175476039,3.8718147107335517,3.42171361111004e-05,10
d_encoding_id,gamma_id,GAM-008,PAT-001,uniformity,value_final,0.7217483418576119,0.10600857175476039,6.808396056191572,3.192778230030056e-24,10
